unit,sex,age,region,year,value
YR,F,Y10,PT,2020,74.4
YR,F,Y10,PT,2019,75.1
YR,F,Y10,PT,2018,74.8
YR,F,Y10,PT,2017,74.8
YR,F,Y10,PT,2016,74.6
YR,F,Y10,PT,2015,74.5
YR,F,Y10,PT,2014,74.7
YR,F,Y10,PT,2013,74.3
YR,F,Y10,PT,2012,74.0
YR,F,Y10,PT,2011,74.1
YR,F,Y10,PT,2010,73.5
YR,F,Y10,PT,2005,71.9
YR,F,Y10,PT,2004,72.2
YR,F,Y10,PT,2003,71.3
YR,F,Y10,PT,2002,71.4
YR,F,Y10,PT,2001,71.2
YR,F,Y10,PT,2000,71.0
YR,F,Y10,PT,1999,70.4
YR,F,Y10,PT,1998,70.3
YR,F,Y10,PT,1997,70.1
YR,F,Y10,PT,1996,69.8
YR,F,Y10,PT,1995,69.8
YR,F,Y10,PT,1994,69.9
YR,F,Y10,PT,1993,69.0
YR,F,Y10,PT,1992,69.3
YR,F,Y10,PT,1991,68.7
YR,F,Y10,PT,1990,68.6
YR,F,Y10,PT,1989,69.1
YR,F,Y10,PT,1988,68.6
YR,F,Y10,PT,1987,68.5
YR,F,Y10,PT,1986,68.3
YR,F,Y10,PT,1985,67.9
YR,F,Y10,PT,1984,67.7
YR,F,Y10,PT,1983,67.6
YR,F,Y10,PT,1982,67.7
YR,F,Y10,PT,1981,67.2
YR,F,Y10,PT,1980,67.1
YR,F,Y10,PT,1979,66.9
YR,F,Y10,PT,1978,66.4
YR,F,Y10,PT,1977,66.2
YR,F,Y10,PT,1976,65.5
YR,F,Y10,PT,1975,65.4
YR,F,Y10,PT,1974,64.7
YR,F,Y10,PT,1973,64.6
YR,F,Y10,PT,1972,65.1
YR,F,Y10,PT,1971,64.5
YR,F,Y10,PT,1970,65.2
YR,F,Y10,PT,1969,64.1
YR,F,Y10,PT,1968,64.8
YR,F,Y10,PT,1967,64.6
YR,F,Y10,PT,1966,64.3
YR,F,Y10,PT,1965,64.8
YR,F,Y10,PT,1964,64.6
YR,F,Y10,PT,1963,64.6
YR,F,Y10,PT,1962,64.7
YR,F,Y10,PT,1961,64.5
YR,F,Y10,PT,1960,64.3
